Penta_Quartile	Q1-Q2	Q1-Q2	>Q3	<Q1	Q2-Q3	Q1-Q2	Q2-Q3	Q1-Q2	Q2-Q3	<Q1	>Q3	>Q3	<Q1	>Q3	Q1-Q2	>Q3	Q2-Q3	<Q1	Q1-Q2	>Q3	>Q3	<Q1	Q2-Q3	Q1-Q2	Q2-Q3	Q1-Q2	Q2-Q3	<Q1	>Q3	>Q3	<Q1	>Q3	Q1-Q2	>Q3	Q2-Q3	<Q1
Sex	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M
D_0__Bacteria|D_1__Acidobacteria|D_2__Blastocatellia_(Subgroup_4)|D_3__Blastocatellales|D_4__Blastocatellaceae|D_5__uncultured|D_6__uncultured_bacterium	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.009293291	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.001356060	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000
D_0__Bacteria|D_1__Acidobacteria|D_2__Subgroup_6	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0017331540	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0009303206	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
D_0__Bacteria|D_1__Acidobacteria|D_2__Subgroup_6|D_3__uncultured_Acidobacteria_bacterium	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.001733154	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000
D_0__Bacteria|D_1__Acidobacteria|D_2__Subgroup_6|D_3__uncultured_Acidobacteria_bacterium|D_4__uncultured_Acidobacteria_bacterium	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.001733154	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000
D_0__Bacteria|D_1__Acidobacteria|D_2__Subgroup_6|D_3__uncultured_Acidobacteria_bacterium|D_4__uncultured_Acidobacteria_bacterium|D_5__uncultured_Acidobacteria_bacterium	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.001733154	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000
D_0__Bacteria|D_1__Acidobacteria|D_2__Subgroup_6|D_3__uncultured_Acidobacteria_bacterium|D_4__uncultured_Acidobacteria_bacterium|D_5__uncultured_Acidobacteria_bacterium|D_6__uncultured_Acidobacteria_bacterium	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.001733154	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000
D_0__Bacteria|D_1__Acidobacteria|D_2__Subgroup_6|NA	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0009303206	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
D_0__Bacteria|D_1__Acidobacteria|D_2__Subgroup_6|NA|NA	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0009303206	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
D_0__Bacteria|D_1__Acidobacteria|D_2__Subgroup_6|NA|NA|NA	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0009303206	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
D_0__Bacteria|D_1__Acidobacteria|D_2__Subgroup_6|NA|NA|NA|NA	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0009303206	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
